Neighborhood,Community,ID,Neighborhood.Abbreviation,Labor.Force.Participation.Rate,Employment.Rate,Private.Employment.Rate,Government.Employment.Rate,Self.Employment.Rate,Median.Income,Poverty.Rate,Total.Persons,Male.Persons,Percent.Male.Persons,Female.Persons,Percent.Female.Persons,Age...24,Percent.Age...24,Age.25.to.44,Percent.Age.25.to.44,Age.45.to.64,Percent.Age.45.to.64,Age.65..,Percent.Age.65..,White,Percent.White,Black,Percent.Black,Latinx,Percent.Latinx,Asian,Percent.Asian,Other,Percent.Other,Total.Occupancy.Units,Occupied.Units,Percent.Occupied.Units,Vacant.Units,Percent.Vacant.Units,Other.Vacant.Units,Percent.Other.Vacant.Units,Total.Units.in.Structure,X1.Unit.Structure,Percent.1.Unit.Structure,X2.Unit.Structure,Percent.2.Unit.Structure,X3.to.19.Unit.Structure,Percent.3.to.19.Unit.Structure,X20.or.More.Unit.Structure,Percent.20.or.More.Unit.Structure,Built.2000.2015,Percent.Built.2000.2015,Built.1970.1999,Percent.Built.1970.1999,Built.1940.1969,Percent.Built.1940.1969,Built.Before.1940,Percent.Built.Before.1940,Owner.Tenure,Percent.Owner.Tenure,Renter.Tenure,Percent.Renter.Tenure,X0.Available.Vehicle,Percent.0.Available.Vehicle,X1.Available.Vehicle,Percent.1.Available.Vehicle,X2.orMore.Available.Vehicle,Percent.2.or.More.Available.Vehicle,Median.Value.for.Cost.Burdened.Owners,Total.Cost.Burdened.Owners,X30...Cost.Burdened.Owners,Share.Cost.Burdened.Owners,Median.Value.for.Rent.Burdened.Renters,Total.Rent.Burdened.Renters,X30...Rent.Burdened.Renters,Share.Rent.Burdened.Renters,Family.Households,Percent.Family.Households,Family.W.Children.Households,Percent.Family.W.Children.Households,Married.Family.W.Children.Households,Percent.Married.Family.W..Children.Households,Single.Person.Households,Percent.Single.Person.Households,Foreign.Born,Percent.Foreign.Born,X..High.School.Education,Percent...High.School.Education,High.School.Education,Percent.High.School.Education,Associates.Education,Percent.Associates.Education,Bachelors.Education,Percent.Bachelors.Education,Graduate.Education,Percent.Graduate.Education,Total.Households,Total.Family.Households.W..Children.Under.18,Percent.Family.Households.W..Children.Under.18,Total.Married.Couple.Households.W..Children.Under.18,Percent.Married.Couple.Households.W..Children.Under.18,Total.Female.Householder.W..Children.Under.18,Percent.Female.Householder.W..Children.Under.18,Total.Male.Householder.W..Children.Under.18,Percent.Male.Householder.W..Children.Under.18,Total.Family.Households.W.Out.Children.Under.18,Percent.Family.Households.W.Out.Children.Under.18,Total.Married.Couple.W.Out.Children.Under.18,Percent.Married.Couple.W.Out.Children.Under.18,Total.Female.Family.Householder.W.Out.Children.Under.18,Percent.Female.Family.Householder.W.Out.Children.Under.18,Total.Male.Family.Householder.W.Out.Children.Under.18,Percent.Male.Family.Householder.W.Out.Children.Under.18,Total.Non.Family.Households,Percent.Non.Family.Households,Total.Living.Alone,Percent.Living.Alone,Total.Not.Living.Alone,Percent.Not.Living.Alone,Total.Living.Alone.Senior,Percent.Living.Alone.Senior,Latitude,Longitude,New.Georeferenced.Column
LOVEJOY,East,29,LJ,60.07,86.95,85.3,9.38,5.32,28780,34.4,7852,3645,46.42,4207,53.58,2658,33.85,2219,28.26,1966,25.04,1009,12.85,5971,76.04,1142,14.54,465,5.92,50,0.64,224,2.85,3850,3200,83.12,650,16.88,566,14.7,3832,1580,41.23,1938,50.57,228,5.95,86,2.24,14,0.36,187,4.86,883,22.94,2766,71.84,1402,43.81,1798,56.19,971,30.34,1484,46.38,745,23.28,48641.94009,1396,271,19.41,595.2619048,1623,954,58.78,1856,58,966,30.19,178,5.56,1116,34.88,83.138054,2.6,599.4609164,18.73,2027.570273,63.36,320.3696573,10.01,202.6954178,6.33,49.90373508,1.56,3200,966,30.19,178,18.43,611,63.25,177,18.32,890,27.81,548,61.57,221,24.83,121,13.6,1344,42,1116,83.04,228,16.96,425,31.62,42.88758439,-78.81209403,"(42.88758439, -78.81209403)"
M.L.K. PARK,East,20,MLK,45.43,84.62,86.09,13.91,0,20480,37.04,3059,1278,41.78,1781,58.22,1132,37.01,594,19.42,783,25.6,550,17.98,129,4.22,2855,93.33,32,1.05,0,0,43,1.41,1987,1555,78.26,432,21.74,247,12.43,1981,536,27.06,1080,54.52,271,13.68,94,4.75,0,0,210,10.57,695,34.98,1082,54.45,612,39.36,943,60.64,748,48.1,644,41.41,163,10.48,33800,575,114,19.83,615,902,578,64.08,863,55.5,393,25.27,0,0,655,42.12,8.641712978,0.56,292.9242346,18.84,990.9392839,63.73,135.5682408,8.72,83.92319668,5.4,51.64504411,3.32,1555,393,25.27,0,0,354,90.08,39,9.92,470,30.23,193,41.06,204,43.4,73,15.53,692,44.5,655,94.65,37,5.35,234,33.82,42.90930777,-78.83478918,"(42.90930777, -78.83478918)"
MASTEN PARK,East,24,MP,48.79,79.84,88.13,9.59,2.28,22520,34.65,6318,2633,41.67,3685,58.33,2118,33.52,1394,22.06,1618,25.61,1188,18.8,264,4.18,5475,86.66,410,6.49,0,0,169,2.67,4232,3014,71.22,1218,28.78,1059,25.02,4202,1342,31.94,2014,47.93,394,9.38,452,10.76,401,9.48,606,14.32,759,17.93,2466,58.27,1170,38.82,1844,61.18,1087,36.07,1432,47.51,495,16.42,40670.08547,1161,294,25.32,637.0799329,1720,1005,58.43,1419,47.08,650,21.57,104,3.45,1480,49.1,163.1509972,5.41,732.6890476,24.31,1579.479524,52.4,354.5038095,11.76,209.5447619,6.95,137.7828571,4.57,3014,650,21.57,104,16,508,78.15,38,5.85,769,25.51,288,37.45,383,49.8,98,12.74,1595,52.92,1480,92.79,115,7.21,611,38.31,42.91095889,-78.85559776,"(42.91095889, -78.85559776)"
MEDICAL PARK,East,25,FB,40.25,89.76,75.15,14.04,10.82,25350,28.03,2296,1028,44.77,1268,55.23,666,29.01,347,15.11,694,30.23,589,25.65,265,11.54,1903,82.88,93,4.05,0,0,35,1.52,1333,854,64.07,479,35.93,406,30.46,1333,625,46.89,376,28.21,204,15.3,128,9.6,80,6,131,9.83,298,22.36,824,61.82,385,45.08,469,54.92,335,39.23,353,41.33,166,19.44,82300,385,94,24.42,684,460,249,54.13,523,61.24,212,24.82,0,0,315,36.89,10.78658537,1.26,203.807362,23.87,459.4834356,53.8,55.53619632,6.5,84.35214724,9.88,50.8208589,5.95,854,212,24.82,0,0,172,81.13,40,18.87,311,36.42,161,51.77,141,45.34,9,2.89,331,38.76,315,95.17,16,4.83,164,49.55,42.89916002,-78.86060503,"(42.89916002, -78.86060503)"
MILITARY,North,12,WH,54.19,90.41,87.92,6.44,5.64,25980,38.85,4293,2300,53.58,1993,46.42,1622,37.78,1303,30.35,1024,23.85,344,8.01,1622,37.78,1184,27.58,1066,24.83,123,2.87,298,6.94,2045,1819,88.95,226,11.05,149,7.29,2034,683,33.58,815,40.07,448,22.03,88,4.33,0,0,326,15.94,793,38.78,926,45.28,564,31.01,1255,68.99,520,28.59,894,49.15,405,22.26,66400,564,115,20.39,589,1176,539,45.83,997,54.81,459,25.23,161,8.85,671,36.89,306.3445143,16.84,468.5406215,25.76,778.4039686,42.79,175.7027331,9.66,247.8906776,13.63,148.4619993,8.16,1819,459,25.23,161,35.08,242,52.72,56,12.2,538,29.58,240,44.61,132,24.54,166,30.86,822,45.19,671,81.63,151,18.37,196,23.84,42.9511837,-78.88667344,"(42.9511837, -78.88667344)"
NORTH PARK,North,13,NP,67.34,92.54,81.53,14.49,3.97,53870,11.48,16990,8404,49.46,8586,50.54,4025,23.69,6468,38.07,4240,24.96,2257,13.28,12400,72.98,2210,13.01,1579,9.29,486,2.86,315,1.85,8674,8005,92.29,669,7.71,432,4.98,8647,2922,33.79,4229,48.91,1114,12.88,382,4.42,94,1.08,778,8.97,2606,30.04,5196,59.9,3850,48.09,4155,51.91,1093,13.65,3711,46.36,3201,39.99,131960.3896,3850,786,20.42,791.8731491,3973,1596,40.17,3751,46.86,1330,16.61,792,9.89,3041,37.99,578.5838729,7.23,885.3968376,11.06,3057.521018,38.2,890.33629,11.12,1973.928654,24.66,1197.8172,14.96,8005,1330,16.61,792,59.55,416,31.28,122,9.17,2421,30.24,1549,63.98,571,23.59,301,12.43,4254,53.14,3041,71.49,1213,28.51,678,15.94,42.95113077,-78.86083114,"(42.95113077, -78.86083114)"
RIVERSIDE PARK,North,11,RS,56.06,95.04,80.33,16.14,3.52,21570,45.32,10703,4891,45.7,5812,54.3,4426,41.35,2911,27.2,2528,23.62,838,7.83,5261,49.15,1428,13.34,2407,22.49,1112,10.39,495,4.62,4831,4130,85.49,701,14.51,504,10.43,4831,2050,42.43,2100,43.47,564,11.67,117,2.42,28,0.58,138,2.86,1669,34.55,2996,62.02,1540,37.29,2590,62.71,1457,35.28,1746,42.28,927,22.45,55546.1039,1488,355,23.86,674.0581583,2228,1339,60.1,2378,57.58,1398,33.85,595,14.41,1453,35.18,601.1903205,14.56,944.1691891,22.86,2358.120121,57.1,417.8030906,10.12,298.7127609,7.23,111.1948383,2.69,4130,1398,33.85,595,42.56,640,45.78,163,11.66,980,23.73,589,60.1,337,34.39,54,5.51,1752,42.42,1453,82.93,299,17.07,289,16.5,42.95494996,-78.90191565,"(42.95494996, -78.90191565)"
SCHILLER PARK,East,18,SHP,56.77,85.49,81.99,14.61,3.4,24020,43.96,9772,4332,44.33,5440,55.67,4303,44.03,2353,24.08,2282,23.35,834,8.53,1071,10.96,7706,78.86,504,5.16,205,2.1,286,2.93,4650,3812,81.98,838,18.02,503,10.82,4650,2151,46.26,2180,46.88,198,4.26,121,2.6,110,2.37,332,7.14,1325,28.49,2883,62,1437,37.7,2375,62.3,1429,37.49,1563,41,820,21.51,38538.34377,1437,543,37.79,739.7289799,2180,1570,72.02,2399,62.93,1308,34.31,264,6.93,1318,34.58,159.9386001,4.2,869.1833973,22.8,2126.606692,55.79,377.0875846,9.89,287.8690803,7.55,151.2532456,3.97,3812,1308,34.31,264,20.18,911,69.65,133,10.17,1091,28.62,553,50.69,487,44.64,51,4.67,1413,37.07,1318,93.28,95,6.72,353,24.98,42.91334028,-78.80554586,"(42.91334028, -78.80554586)"
SOUTH ABBOTT,South,35,SP,68.63,94.37,75.08,22.12,2.8,55720,11.89,15433,7302,47.31,8131,52.69,4432,28.72,4383,28.4,4344,28.15,2274,14.73,13912,90.14,464,3.01,865,5.6,69,0.45,123,0.8,6994,6431,91.95,563,8.05,338,4.83,6994,4285,61.27,2200,31.46,451,6.45,58,0.83,0,0,232,3.32,2841,40.62,3921,56.06,4543,70.64,1888,29.36,583,9.07,2757,42.87,3091,48.06,93177.81202,4517,694,15.36,727.5325714,1693,645,38.1,3911,60.81,1644,25.56,1078,16.76,1994,31.01,269.191084,4.19,515.0178166,8.01,3197.670212,49.72,841.7998364,13.09,1058.680211,16.46,817.8319244,12.72,6431,1644,25.56,1078,65.57,525,31.93,41,2.49,2267,35.25,1476,65.11,503,22.19,288,12.7,2520,39.19,1994,79.13,526,20.87,768,30.48,42.84272569,-78.81352847,"(42.84272569, -78.81352847)"
SOUTH ELLICOTT,East,27,EL,61.82,84.97,82.9,12.57,4.53,22190,33.49,2944,1395,47.38,1549,52.62,1048,35.6,721,24.49,804,27.31,371,12.6,787,26.73,1396,47.42,529,17.97,213,7.24,19,0.65,1737,1357,78.12,380,21.88,380,21.88,1737,491,28.27,367,21.13,475,27.35,404,23.26,172,9.9,207,11.92,243,13.99,1115,64.19,359,26.46,998,73.54,577,42.52,509,37.51,271,19.97,42500,359,40,11.14,408,847,397,46.87,634,46.72,291,21.44,113,8.33,707,52.1,84.8125,6.25,389.350211,28.69,723.5901899,53.32,97.33755274,7.17,107.3575949,7.91,39.36445148,2.9,1357,291,21.44,113,38.83,141,48.45,37,12.71,343,25.28,137,39.94,138,40.23,68,19.83,723,53.28,707,97.79,16,2.21,189,26.14,42.87529471,-78.85697711,"(42.87529471, -78.85697711)"
STARIN CENTRAL,North,14,CP,51.68,85.42,82.63,16.47,0.9,61940,14.32,5878,2983,50.75,2895,49.25,1161,19.75,2135,36.32,1839,31.29,743,12.64,4546,77.34,895,15.23,177,3.01,98,1.67,162,2.76,2673,2431,90.95,242,9.05,182,6.81,2673,1393,52.11,802,30,300,11.22,178,6.66,116,4.34,95,3.55,940,35.17,1522,56.94,1468,60.39,963,39.61,333,13.7,755,31.06,1343,55.24,167500,1468,225,15.33,871,801,375,46.82,1288,52.98,433,17.81,251,10.32,812,33.4,196.0350459,8.06,110.2891668,4.54,952.4036464,39.18,164.4030104,6.76,695.2340471,28.6,508.6701293,20.92,2431,433,17.81,251,57.97,150,34.64,32,7.39,855,35.17,693,81.05,42,4.91,120,14.04,1143,47.02,812,71.04,331,28.96,149,13.04,42.94803807,-78.83727408,"(42.94803807, -78.83727408)"
TIFFT,South,33,HT,65.48,90.92,86.05,11.23,2.72,36960,28.07,7080,3704,52.32,3376,47.68,2469,34.87,1982,27.99,1813,25.61,816,11.53,4871,68.8,435,6.14,1319,18.63,166,2.34,289,4.08,3116,2757,88.48,359,11.52,250,8.02,3116,1490,47.82,1398,44.87,194,6.23,34,1.09,21,0.67,150,4.81,989,31.74,1956,62.77,1476,53.54,1281,46.46,291,10.55,1645,59.67,821,29.78,59417.07317,1476,331,22.43,682.5722357,1217,671,55.14,1731,62.79,914,33.15,348,12.62,782,28.36,108.2550847,3.93,397.6154847,14.42,1754.291477,63.63,254.7130774,9.24,262.4860117,9.52,87.89394925,3.19,2757,914,33.15,348,38.07,431,47.16,135,14.77,817,29.63,507,62.06,109,13.34,201,24.6,1026,37.21,782,76.22,244,23.78,304,29.63,42.8461645,-78.84195621,"(42.8461645, -78.84195621)"
UNIVERSITY,North,15,UH,56.76,92.2,77.32,19.68,3,42130,35.21,10377,5565,53.63,4812,46.37,5174,49.86,2348,22.63,2102,20.26,753,7.26,3723,35.88,3976,38.32,725,6.99,1657,15.97,296,2.85,4233,3568,84.29,665,15.71,396,9.36,4233,2048,48.38,1625,38.39,414,9.78,146,3.45,56,1.32,150,3.54,949,22.42,3078,72.71,1517,42.52,2051,57.48,1035,29.01,1329,37.25,1204,33.74,78084.00529,1517,281,18.52,813.8225966,1944,1243,63.94,1642,46.02,784,21.97,300,8.41,980,27.47,566.9877614,15.89,316.820296,8.88,1782.285604,49.95,434.084951,12.17,521.1762445,14.61,513.6329041,14.4,3568,784,21.97,300,38.27,484,61.73,0,0,858,24.05,429,50,290,33.8,139,16.2,1926,53.98,980,50.88,946,49.12,306,15.89,42.95099497,-78.82064483,"(42.95099497, -78.82064483)"
WILLERT PARK,East,26,PW,54.55,91.15,74.74,23.28,1.98,26330,30.65,4772,1777,37.24,2995,62.76,1406,29.46,1160,24.31,1312,27.49,894,18.73,285,5.97,4042,84.7,219,4.59,44,0.92,182,3.81,3086,2631,85.26,455,14.74,172,5.57,3086,948,30.72,307,9.95,949,30.75,882,28.58,495,16.04,1160,37.59,853,27.64,578,18.73,636,24.17,1995,75.83,1229,46.71,1116,42.42,286,10.87,81355.66038,636,158,24.84,468.3527623,1958,1024,52.3,1135,43.14,552,20.98,72,2.74,1422,54.05,66.16093881,2.51,489.3065954,18.6,1324.098039,50.33,258.7228164,9.83,298.5864528,11.35,260.2860963,9.89,2631,552,20.98,72,13.04,453,82.07,27,4.89,583,22.16,247,42.37,271,46.48,65,11.15,1496,56.86,1422,95.05,74,4.95,556,37.17,42.88710591,-78.86013401,"(42.88710591, -78.86013401)"
