Neighborhood,Community,ID,Neighborhood.Abbreviation,Labor.Force.Participation.Rate,Employment.Rate,Private.Employment.Rate,Government.Employment.Rate,Self.Employment.Rate,Median.Income,Poverty.Rate,Total.Persons,Male.Persons,Percent.Male.Persons,Female.Persons,Percent.Female.Persons,Age...24,Percent.Age...24,Age.25.to.44,Percent.Age.25.to.44,Age.45.to.64,Percent.Age.45.to.64,Age.65..,Percent.Age.65..,White,Percent.White,Black,Percent.Black,Latinx,Percent.Latinx,Asian,Percent.Asian,Other,Percent.Other,Total.Occupancy.Units,Occupied.Units,Percent.Occupied.Units,Vacant.Units,Percent.Vacant.Units,Other.Vacant.Units,Percent.Other.Vacant.Units,Total.Units.in.Structure,X1.Unit.Structure,Percent.1.Unit.Structure,X2.Unit.Structure,Percent.2.Unit.Structure,X3.to.19.Unit.Structure,Percent.3.to.19.Unit.Structure,X20.or.More.Unit.Structure,Percent.20.or.More.Unit.Structure,Built.2000.2015,Percent.Built.2000.2015,Built.1970.1999,Percent.Built.1970.1999,Built.1940.1969,Percent.Built.1940.1969,Built.Before.1940,Percent.Built.Before.1940,Owner.Tenure,Percent.Owner.Tenure,Renter.Tenure,Percent.Renter.Tenure,X0.Available.Vehicle,Percent.0.Available.Vehicle,X1.Available.Vehicle,Percent.1.Available.Vehicle,X2.orMore.Available.Vehicle,Percent.2.or.More.Available.Vehicle,Median.Value.for.Cost.Burdened.Owners,Total.Cost.Burdened.Owners,X30...Cost.Burdened.Owners,Share.Cost.Burdened.Owners,Median.Value.for.Rent.Burdened.Renters,Total.Rent.Burdened.Renters,X30...Rent.Burdened.Renters,Share.Rent.Burdened.Renters,Family.Households,Percent.Family.Households,Family.W.Children.Households,Percent.Family.W.Children.Households,Married.Family.W.Children.Households,Percent.Married.Family.W..Children.Households,Single.Person.Households,Percent.Single.Person.Households,Foreign.Born,Percent.Foreign.Born,X..High.School.Education,Percent...High.School.Education,High.School.Education,Percent.High.School.Education,Associates.Education,Percent.Associates.Education,Bachelors.Education,Percent.Bachelors.Education,Graduate.Education,Percent.Graduate.Education,Total.Households,Total.Family.Households.W..Children.Under.18,Percent.Family.Households.W..Children.Under.18,Total.Married.Couple.Households.W..Children.Under.18,Percent.Married.Couple.Households.W..Children.Under.18,Total.Female.Householder.W..Children.Under.18,Percent.Female.Householder.W..Children.Under.18,Total.Male.Householder.W..Children.Under.18,Percent.Male.Householder.W..Children.Under.18,Total.Family.Households.W.Out.Children.Under.18,Percent.Family.Households.W.Out.Children.Under.18,Total.Married.Couple.W.Out.Children.Under.18,Percent.Married.Couple.W.Out.Children.Under.18,Total.Female.Family.Householder.W.Out.Children.Under.18,Percent.Female.Family.Householder.W.Out.Children.Under.18,Total.Male.Family.Householder.W.Out.Children.Under.18,Percent.Male.Family.Householder.W.Out.Children.Under.18,Total.Non.Family.Households,Percent.Non.Family.Households,Total.Living.Alone,Percent.Living.Alone,Total.Not.Living.Alone,Percent.Not.Living.Alone,Total.Living.Alone.Senior,Percent.Living.Alone.Senior,Latitude,Longitude,New.Georeferenced.Column
FIRST WARD,South,32,FW,51.54,86.73,84.7,13.32,1.97,27880,39.21,1971,822,41.7,1149,58.3,796,40.39,419,21.26,509,25.82,247,12.53,1555,78.89,0,0,375,19.03,0,0,41,2.08,1028,791,76.95,237,23.05,191,18.58,1013,477,47.09,487,48.08,49,4.84,0,0,25,2.43,71,6.91,125,12.16,807,78.5,494,62.45,297,37.55,210,26.55,423,53.48,158,19.97,38800,494,129,26.11,611,269,165,61.34,418,52.84,223,28.19,57,7.21,315,39.82,46.55301877,5.89,234.2706383,29.62,423.4374468,53.53,87.51489362,11.06,16.15659574,2.04,29.62042553,3.74,791,223,28.19,57,25.56,149,66.82,17,7.62,195,24.65,159,81.54,27,13.85,9,4.62,373,47.16,315,84.45,58,15.55,117,31.37,42.86596031,-78.85846723,"(42.86596031, -78.85846723)"
FOREST,West,4,UWS,53.18,93.66,84.02,13.57,2.4,31390,46.96,10278,5281,51.38,4997,48.62,4778,46.49,3060,29.77,1752,17.05,688,6.69,2682,26.09,2878,28,2401,23.36,1611,15.67,706,6.87,3953,3104,78.52,849,21.48,694,17.56,3931,1216,30.93,2035,51.77,556,14.14,124,3.15,55,1.39,182,4.6,599,15.15,3117,78.85,896,28.87,2208,71.13,961,30.96,1542,49.68,601,19.36,61196.09375,896,130,14.51,740.7568681,2137,1282,59.99,2002,64.5,1312,42.27,607,19.56,803,25.87,1012.620354,32.62,970.7054545,31.27,1403.008,45.2,208.2501818,6.71,373.0443636,12.02,148.992,4.8,3104,1312,42.27,607,46.27,563,42.91,142,10.82,690,22.23,308,44.64,240,34.78,142,20.58,1102,35.5,803,72.87,299,27.13,265,24.05,42.92292466,-78.89340362,"(42.92292466, -78.89340362)"
FRONT PARK,West,3,WS,47.06,88.19,80.25,13.85,5.9,20040,48.49,10455,5380,51.46,5075,48.54,4168,39.87,3151,30.14,2097,20.06,1039,9.94,3301,31.57,1742,16.66,3440,32.9,1492,14.27,480,4.59,5267,4299,81.62,968,18.38,728,13.82,5252,1237,23.55,2564,48.82,985,18.75,466,8.87,67,1.27,450,8.54,753,14.3,3997,75.89,1475,34.31,2824,65.69,1846,42.94,1678,39.03,775,18.03,84118.84746,1475,461,31.25,658.0561224,2531,1731,68.39,2043,47.52,1243,28.91,675,15.7,1954,45.45,1030.444189,23.97,1358.694608,31.6,1831.194847,42.6,202.4024177,4.71,544.9821855,12.68,361.7259424,8.41,4299,1243,28.91,675,54.3,399,32.1,169,13.6,800,18.61,420,52.5,246,30.75,134,16.75,2256,52.48,1954,86.61,302,13.39,608,26.95,42.90553428,-78.89268387,"(42.90553428, -78.89268387)"
GENESEE MOSELLE,East,19,GM,52.79,80.67,81.09,15.59,3.32,22080,46.99,6911,3263,47.21,3648,52.79,2696,39.01,1670,24.16,1844,26.68,701,10.14,1048,15.16,5192,75.13,306,4.43,256,3.7,109,1.58,3848,2822,73.34,1026,26.66,802,20.84,3848,1371,35.63,2119,55.07,276,7.17,82,2.13,29,0.75,233,6.06,901,23.41,2685,69.78,1099,38.94,1723,61.06,1196,42.38,1070,37.92,556,19.7,32508.9172,1093,321,29.37,687.1580529,1573,1106,70.31,1451,51.42,707,25.05,121,4.29,1199,42.49,166.600492,5.9,652.1062871,23.11,1595.451008,56.54,263.1188612,9.32,180.7686833,6.41,130.5551601,4.63,2822,707,25.05,121,17.11,538,76.1,48,6.79,744,26.36,281,37.77,402,54.03,61,8.2,1371,48.58,1199,87.45,172,12.55,238,17.36,42.9067872,-78.81813066,"(42.9067872, -78.81813066)"
GRIDER,East,21,DG,51.29,86.54,75.77,18.82,5.41,28370,29.43,5501,2300,41.81,3201,58.19,1919,34.88,1020,18.54,1544,28.07,1018,18.51,102,1.85,5104,92.78,56,1.02,0,0,239,4.34,3045,2384,78.29,661,21.71,441,14.48,3026,1406,46.46,1553,51.32,56,1.85,11,0.36,71,2.33,81,2.66,881,28.93,2012,66.08,1137,47.69,1247,52.31,668,28.02,1103,46.27,613,25.71,38352.06684,1117,256,22.92,719.7571305,1115,762,68.34,1509,63.3,610,25.59,63,2.64,798,33.47,41.17069624,1.73,398.6644333,16.72,1329.768844,55.78,301.4941374,12.65,235.6046901,9.88,118.467895,4.97,2384,610,25.59,63,10.33,536,87.87,11,1.8,899,37.71,420,46.72,386,42.94,93,10.34,875,36.7,798,91.2,77,8.8,226,25.83,42.92194006,-78.83156452,"(42.92194006, -78.83156452)"
HAMLIN PARK,East,23,HP,53.39,88.14,80.33,14.83,4.84,27860,36.95,7284,3312,45.47,3972,54.53,3752,51.51,1311,18,1214,16.67,1007,13.82,1584,21.75,5240,71.94,159,2.18,161,2.21,140,1.92,2972,2400,80.75,572,19.25,318,10.7,2942,850,28.89,1789,60.81,240,8.16,63,2.14,30,1.01,109,3.67,666,22.41,2167,72.91,973,40.54,1427,59.46,683,28.46,1014,42.25,703,29.29,63654.47071,967,252,26.06,821.5287714,1188,785,66.08,1512,63,807,33.63,190,7.92,639,26.63,149.9176277,6.25,326.8403171,13.62,1513.250283,63.05,180.0679502,7.5,239.184598,9.97,140.6568516,5.86,2400,807,33.63,190,23.54,525,65.06,92,11.4,705,29.38,298,42.27,295,41.84,112,15.89,888,37,639,71.96,249,28.04,302,34.01,42.92116104,-78.84850441,"(42.92116104, -78.84850441)"
KAISERTOWN,South,30,KT,62.39,92.77,77.64,18.87,3.49,41280,15.14,5180,2493,48.13,2687,51.87,1345,25.97,1341,25.89,1710,33.01,784,15.14,4492,86.72,237,4.58,341,6.58,0,0,110,2.12,2833,2437,86.02,396,13.98,353,12.46,2833,1608,56.76,954,33.67,243,8.58,28,0.99,24,0.85,69,2.44,1304,46.03,1436,50.69,1683,69.06,754,30.94,541,22.2,1062,43.58,834,34.22,66924.18301,1607,245,15.25,692.1818182,703,383,54.48,1170,48.01,438,17.97,241,9.89,1053,43.21,119.0272201,4.88,339.9726206,13.95,1285.54133,52.75,373.6521512,15.33,319.0023468,13.09,118.8315515,4.88,2437,438,17.97,241,55.02,168,38.36,29,6.62,732,30.04,541,73.91,142,19.4,49,6.69,1267,51.99,1053,83.11,214,16.89,378,29.83,42.87116397,-78.80937785,"(42.87116397, -78.80937785)"
KENFIELD,East,17,KF,57.21,85.7,81.71,15.77,2.52,26700,37.58,7049,2724,38.64,4325,61.36,3077,43.65,1568,22.24,1664,23.61,740,10.5,390,5.53,6370,90.37,189,2.68,18,0.26,82,1.16,3555,3142,88.38,413,11.62,342,9.62,3555,1087,30.58,1449,40.76,956,26.89,63,1.77,83,2.33,60,1.69,871,24.5,2541,71.48,973,30.97,2169,69.03,1282,40.8,1249,39.75,611,19.45,53622.71326,932,224,24.03,508.4969325,1964,893,45.47,1992,63.4,1177,37.46,167,5.32,1050,33.42,61.0659668,1.94,435.8615307,13.87,1951.488922,62.11,423.9959718,13.49,227.0276939,7.23,103.6258812,3.3,3142,1177,37.46,167,14.19,947,80.46,63,5.35,815,25.94,334,40.98,367,45.03,114,13.99,1150,36.6,1050,91.3,100,8.7,327,28.43,42.92777931,-78.80875953,"(42.92777931, -78.80875953)"
KENSINGTON,East,16,KB,56.41,89.47,82.11,16.11,1.78,37240,30.88,14098,6250,44.33,7848,55.67,5682,40.3,3498,24.81,3395,24.08,1523,10.8,887,6.29,12373,87.76,206,1.46,253,1.79,379,2.69,6492,5674,87.4,818,12.6,599,9.23,6492,3594,55.36,2379,36.65,465,7.16,54,0.83,13,0.2,192,2.96,1460,22.49,4827,74.35,2568,45.26,3106,54.74,1583,27.9,2705,47.67,1386,24.43,55018.38006,2560,595,23.24,796.6855469,2920,1692,57.95,3292,58.02,1545,27.23,320,5.64,2209,38.93,214.515676,3.78,893.3044202,15.74,3385.118108,59.66,637.7856464,11.24,340.4669677,6,417.3248574,7.36,5674,1545,27.23,320,20.71,1063,68.8,162,10.49,1747,30.79,690,39.5,842,48.2,215,12.31,2382,41.98,2209,92.74,173,7.26,565,23.72,42.93977645,-78.80988103,"(42.93977645, -78.80988103)"
LEROY,East,22,FL,47.29,82.79,84.3,12.37,3.33,22910,45.55,5458,2566,47.01,2892,52.99,1974,36.17,1446,26.49,1171,21.45,867,15.88,569,10.43,4289,78.58,229,4.2,139,2.55,232,4.25,2826,2465,87.23,361,12.77,246,8.7,2815,1155,41.03,1126,40,357,12.68,177,6.29,105,3.72,276,9.77,574,20.31,1871,66.21,1033,41.91,1432,58.09,1006,40.81,1105,44.83,354,14.36,48852.17812,984,370,37.6,714.3956835,1346,903,67.09,1351,54.81,666,27.02,82,3.33,975,39.55,140.9087578,5.72,435.1248565,17.65,1412.210103,57.29,188.9078645,7.66,273.8102755,11.11,154.9469001,6.29,2465,666,27.02,82,12.31,434,65.17,150,22.52,685,27.79,222,32.41,371,54.16,92,13.43,1114,45.19,975,87.52,139,12.48,416,37.34,42.93307529,-78.83539765,"(42.93307529, -78.83539765)"
